"No.","Time","Source","Destination","Protocol","Length","Info"
"236","15.639537","192.168.1.161","192.168.1.172","TCP","548","7000  >  53847 [PSH, ACK] Seq=1449 Ack=42 Win=131712 Len=482 TSval=347280235 TSecr=2582387523"
"237","15.655869","192.168.1.172","192.168.1.161","TCP","66","53847  >  7000 [ACK] Seq=42 Ack=1449 Win=130304 Len=0 TSval=2582387572 TSecr=347280235"
"238","15.662198","192.168.1.172","192.168.1.161","TCP","66","53847  >  7000 [ACK] Seq=42 Ack=1931 Win=130560 Len=0 TSval=2582387578 TSecr=347280235"
"239","15.663285","192.168.1.172","192.168.1.161","TCP","66","53847  >  7000 [FIN, ACK] Seq=42 Ack=1931 Win=131072 Len=0 TSval=2582387578 TSecr=347280235"
"240","15.663434","192.168.1.161","192.168.1.172","TCP","66","7000  >  53847 [ACK] Seq=1931 Ack=43 Win=131712 Len=0 TSval=347280259 TSecr=2582387578"
"241","15.663618","192.168.1.161","192.168.1.172","TCP","66","7000  >  53847 [FIN, ACK] Seq=1931 Ack=43 Win=131712 Len=0 TSval=347280259 TSecr=2582387578"
"243","15.682316","192.168.1.172","192.168.1.161","TCP","66","53847  >  7000 [ACK] Seq=43 Ack=1932 Win=131072 Len=0 TSval=2582387600 TSecr=347280259"
"271","24.785045","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","113","Application Data"
"272","24.785197","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TCP","74","58741  >  443 [ACK] Seq=7265 Ack=255 Win=4095 Len=0"
"273","24.786904","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TLSv1.2","109","Application Data"
"274","24.787122","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TLSv1.2","109","Application Data"
"275","24.798766","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","74","443  >  58741 [ACK] Seq=255 Ack=7335 Win=16385 Len=0"
"386","29.200696","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","[TCP Previous segment not captured] 58743  >  443 [ACK] Seq=2 Ack=1 Win=2048 Len=1348 TSval=1495720288 TSecr=2482523314 [TCP PDU reassembled in 391]"
"387","29.200697","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=1350 Ack=1 Win=2048 Len=1348 TSval=1495720288 TSecr=2482523314 [TCP PDU reassembled in 391]"
"388","29.200698","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=2698 Ack=1 Win=2048 Len=1348 TSval=1495720288 TSecr=2482523314 [TCP PDU reassembled in 391]"
"389","29.200699","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=4046 Ack=1 Win=2048 Len=1348 TSval=1495720288 TSecr=2482523314 [TCP PDU reassembled in 391]"
"390","29.200700","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","58743  >  443 [ACK] Seq=5394 Ack=1 Win=2048 Len=1348 TSval=1495720288 TSecr=2482523314 [TCP PDU reassembled in 391]"
"391","29.200724","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TLSv1.2","488","Application Data"
"392","29.200763","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TLSv1.2","125","Application Data"
"393","29.200790","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TLSv1.2","353","Application Data"
"394","29.259892","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","1434","[TCP Retransmission] 58743  >  443 [PSH, ACK] Seq=6102 Ack=1 Win=2048 Len=1348 TSval=1495720347 TSecr=2482523314"
"397","29.280217","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=1 Ack=1350 Win=26 Len=0 TSval=2482537386 TSecr=1495720288"
"398","29.280218","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=1 Ack=4046 Win=26 Len=0 TSval=2482537386 TSecr=1495720288"
"399","29.280219","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=1 Ack=5394 Win=26 Len=0 TSval=2482537387 TSecr=1495720288"
"400","29.280220","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=1 Ack=7144 Win=26 Len=0 TSval=2482537387 TSecr=1495720288"
"401","29.280220","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=1 Ack=7183 Win=26 Len=0 TSval=2482537387 TSecr=1495720288"
"402","29.280221","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","86","443  >  58743 [ACK] Seq=1 Ack=7450 Win=26 Len=0 TSval=2482537387 TSecr=1495720288"
"403","29.280221","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","125","Application Data"
"404","29.280222","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","98","[TCP Dup ACK 402#1] 443  >  58743 [ACK] Seq=40 Ack=7450 Win=26 Len=0 TSval=2482537387 TSecr=1495720347 SLE=6102 SRE=7450"
"405","29.280360","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2606:4700:4400::ac40:9bd1","TCP","86","58743  >  443 [ACK] Seq=7450 Ack=40 Win=2047 Len=0 TSval=1495720367 TSecr=2482537387"
"418","29.801999","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","396","Application Data"
"419","29.802000","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","121","Application Data"
"420","29.802001","2606:4700:4400::ac40:9bd1","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","117","Application Data"
